file:///abnl/?adsdata=qOiEh23BgSiGG21adVLzVDIw6Btq8p^TRRxJm3YG2EtFnT3EFEclv!2TSYLHyx3TXOl8vupEB9haAQQy3xDl^8AvcvZJBt4jYiWfHQ9o			URL is not valid
file:///abnl/?adsdata=1VrEWO34EM;993RADCxry;v0Pu7Tb8gYmEXBCRZn2ZtaFMXufHCbcMsGAHFVV;y;4JZ44QgqtzqAXyL6VuxIPybuCCHAvj455jH3			URL is not valid
http://localhost/			URL is not valid
file:///abnl/?adsdata=mANQ6Pjqr7;h7NTVSD5^D2ajR77u2qA!v74ycYukpNt9ykWM341wHXD6Uf!vqmL;v6GIT^6T2zaBSuxVxELl!qXejjrmP7ZbiuYfzVbc			URL is not valid
http://c11n4.i.teaserguide.com/snitch?default_keyword=&referrer=&se_referrer=&source=	6	68	2016-11-01 04:58:26	Dr.Web:malicious site Websense ThreatSeeker:malicious site ESET:malware site Sophos:malicious site Sucuri SiteCheck:malicious site Fortinet:malware site
http://google-banking.com/main.php?page=f8a892dc63e25f27	6	67	2016-05-28 07:33:03	Kaspersky:malware site BitDefender:malware site Dr.Web:malicious site Websense ThreatSeeker:malicious site Sophos:malicious site Yandex Safebrowsing:malware site
http://3v33v3v.usa.cc/index.php?showtopic=314158	4	61	2014-12-25 13:57:34	BitDefender:malware site Websense ThreatSeeker:malicious site Sophos:malicious site Fortinet:malware site
http://znfxgwwr.ce.ms/count13.php	4	68	2017-01-21 08:43:55	Kaspersky:malware site Avira:malware site Sophos:malicious site Fortinet:malware site
http://market-panel.net/main.php?page=8b89c7278770dfd7	6	67	2016-06-13 13:24:54	Kaspersky:malware site BitDefender:malware site Websense ThreatSeeker:malicious site ADMINUSLabs:malicious site Sophos:malicious site Fortinet:malware site
http://xprbatoar.myfw.us/?go=2	2	64	2017-03-20 06:31:04	Kaspersky:malware site AutoShun:malicious site
http://sittanyg.ru/count19.php	3	67	2016-06-14 23:35:24	Kaspersky:malware site Websense ThreatSeeker:malicious site AutoShun:malicious site
http://nktxmecg.ce.ms/count13.php	5	67	2016-07-02 13:07:36	Kaspersky:malware site AutoShun:malicious site Avira:malware site Sophos:malicious site Fortinet:malware site
http://bgivscb.ce.ms/count13.php	2	67	2016-06-13 03:43:09	Avira:malware site Sophos:malicious site
http://bvlt-abtl.be/clicker.php	1	63	2015-05-05 12:09:39	Kaspersky:malware site
http://nani-oia.de/peppamint/clik.php	0	68	2016-07-08 23:51:39	
http://scimedwriting.com/images/yQZpkB46.php	0	68	2016-11-02 17:17:51	
http://casdedeux.com/Zj93CN8d.php	0	68	2016-08-24 01:16:28	
http://vultgiyx.cz.cc/count17.php	6	67	2016-06-13 03:49:55	Websense ThreatSeeker:malicious site AutoShun:malicious site malwares.com URL checker:malicious site Sophos:malicious site Yandex Safebrowsing:malware site Fortinet:malware site
http://ftp.webcreationsgroup.com/payment/rel.php	2	67	2016-06-09 18:34:01	SCUMWARE.org:malware site Sucuri SiteCheck:malicious site
http://flipnode.net/uploadify/Qm9prfY8.php	0	68	2016-10-31 06:34:32	
http://tadleybandb.co.uk/jNgV8KkD.php	0	67	2016-06-08 06:04:07	
http://ytftdlip.cz.cc/count21.php	5	65	2017-08-23 07:56:02	Dr.Web:malicious site Sophos:malicious site Yandex Safebrowsing:malware site AutoShun:malicious site Fortinet:malware site
http://cf1n4.r.teaserguide.com/snitch?default_keyword=&referrer=&se_referrer=&source=	4	64	2017-05-15 08:14:44	Dr.Web:malicious site Avira:malware site Sophos:malicious site Fortinet:malware site
http://ampgroup.co.uk/clk.php	1	68	2016-12-21 00:50:49	Dr.Web:malicious site
http://heimsoft.ch/Deutsch/relay.php	0	67	2016-06-07 07:59:02	
http://ayfjzuw.ce.ms/count13.php	2	67	2016-06-13 03:42:58	Avira:malware site Sophos:malicious site
http://atnywyz.eu/count26.php	2	67	2016-05-28 05:35:02	Kaspersky:malware site Yandex Safebrowsing:malware site
http://sciencenetworks.org/clk.php	2	68	2016-10-27 20:38:09	Sucuri SiteCheck:malicious site Fortinet:malware site
