JS_IDX,domain,filename,src,y_lable
13,cryptorials.io,/mnt/sdb1/domcrawl/htmls/2/cryptorials.io,https://affiliategroove.com/scripts/banner.php?a_aid=56b11b64639f5&a_bid=31cbe7da&w=1,
15,cryptorials.io,/mnt/sdb1/domcrawl/htmls/2/cryptorials.io,file://minergate.com/wmr/mro/deanswalsh%40hotmail.co.uk/1/0218222a63441f10/hidden,
10,css-happylife.com,/mnt/sdb1/domcrawl/htmls/2/css-happylife.com,https://as.ebis.ne.jp/resolv.php?argument=sRrG93Nh&tag_id=tag553f3a06e9053&width=300&height=250&alt_img=&alt_link=,
0,danestaniha2001.rozblog.com,/mnt/sdb1/domcrawl/htmls/2/danestaniha2001.rozblog.com,http://ads.rzb.ir/image.php?size_id=7,
10,de.yelp.ch,/mnt/sdb1/domcrawl/htmls/2/de.yelp.ch,https://6372968.fls.doubleclick.net/activityi;src=6372968;type=invmedia;cat=qr3hlsqk;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=6577161376251.639?,
7,dehkadeyedownload.ir,/mnt/sdb1/domcrawl/htmls/2/dehkadeyedownload.ir,http://banner.dabi.ir/Banner.aspx?code=Rcghj2721826&x=file:///tmp/direct_run_without_condition.html,
23,delmar.edu,/mnt/sdb1/domcrawl/htmls/2/delmar.edu,https://6786618.fls.doubleclick.net/activityi;src=6786618;type=retar0;cat=retar0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=9978395024390.03?,
5,deltaco.com,/mnt/sdb1/domcrawl/htmls/2/deltaco.com,https://5880457.fls.doubleclick.net/activityi;src=5880457;type=pagel0;cat=dthom0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=4504309856036.382?,
18,designwork-s.net,/mnt/sdb1/domcrawl/htmls/2/designwork-s.net,https://as.ebis.ne.jp/resolv.php?argument=sRrG93Nh&tag_id=tag5541f1b3aa5d1&width=300&height=250&alt_img=&alt_link=,
15,design-develop.net,/mnt/sdb1/domcrawl/htmls/2/design-develop.net,https://as.ebis.ne.jp/resolv.php?argument=sRrG93Nh&tag_id=tag5541ef845b468&width=300&height=250&alt_img=&alt_link=,
5,dessy.com,/mnt/sdb1/domcrawl/htmls/2/dessy.com,file://2924826.fls.doubleclick.net/activityi;src=2924826;type=dessy926;cat=homem309;ord=4963764237274.49?,
3,easyporn.xxx,/mnt/sdb1/domcrawl/htmls/2/easyporn.xxx,http://grill/df.html,
